study_uid,study,author_year_std,outcome_std,model_group_best,auc_best,auprc_best,acc_best,sens_best,spec_best,prec_best,npv_best,f1_best,brier_best
1,"Development and validation of a
risk score to predict neonatal
mortality among NICU
admissions in Southern Ethiopia:
a retrospective follow-up study","Adane, et al. 2025",Neonatal death,Classical,0.796,NA,NA,0.8,0.66,NA,NA,NA,NA
2,Predictive analysis on the factors associated with birth Outcomes: A machine learning perspective,"Adebanji, et al. 2024",Stillbirths,AI,0.9,NA,NA,0.9959,NA,NA,NA,NA,NA
3,Predicting stillbirth and identifying key maternal risk factors using machine learning,Aga 2025,Stillbirths,ML,0.94,NA,0.95,NA,NA,NA,NA,NA,NA
4,Predicting early and late neonatal mortality using machine learning models in Oman,Al Mashrafi et al. 2025,Neonatal death,AI,0.8652,0.85,NA,0.85,NA,NA,NA,NA,0.1836
5,A prediction model for stillbirth based on first trimester pre-eclampsia combined screening,"Al-Fattah, et al. 2024",Stillbirths,Classical,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,External validation of prognostic models to predict stillbirth using International Prediction of Pregnancy Complications (IPPIC) Network database: individual participant data meta-analysis,"Allotey, et al. 2022",Stillbirths,Classical,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Artificial intelligence-driven predictive framework for early detection of still birth,"Alzakari, et al. 2024",Stillbirths,AI,0.9887999999999999,NA,0.9791,0.9826,NA,0.9787,NA,0.9804999999999999,NA
8,Prediction of stillbirth in women with overweight or obesity—A register-based cohort study,"ÅmarkI, et al. 2018",Stillbirths,Classical,0.69,NA,NA,0.28,0.9,NA,NA,NA,NA
9,Hybridized neural networks for non-invasive and continuous mortality risk assessment in neonates,"Baker, et al. 2021",Neonatal death,AI,0.9336,0.8397336,NA,0.8397336,NA,0.8397336,NA,NA,NA
10,Neonatal mortality prediction with routinely collected data: a machine learning approach,"Batista, et al. 2021",Neonatal death,AI,0.971,NA,NA,NA,NA,0.729,NA,0.548,NA
11,Predicting perinatal mortality based on maternal health status and health insurance service using homogeneous ensemble machine learning methods,"Bogale D.S., et al. 2022",Stillbirths,ML,NA,NA,0.9024,0.9972,NA,0.8724,NA,0.9279999999999999,NA
12,Interpretable Predictive Models to Understand Risk Factors for Maternal and Fetal Outcomes,"Bosschieter, et al 2023",Stillbirths,AI,0.73,NA,NA,NA,NA,NA,NA,NA,NA
